song_id,song_title,spotify_id,lastfm_url
230,"Uphill Battle",NULL,https://www.last.fm/music/Saosin/_/Uphill+Battle
231,"You Won't Know",NULL,https://www.last.fm/music/Brand+New/_/You+Won%27t+Know
232,"Everything I Once Had",NULL,https://www.last.fm/music/The+Honorary+Title/_/Everything+I+Once+Had
233,"Brand new-  Flying at Tree Level",NULL,https://www.last.fm/music/Brand+New/_/Brand+new-++Flying+at+Tree+Level
234,"Kissing the Lipless",NULL,https://www.last.fm/music/The+Shins/_/Kissing+the+Lipless
235,"the cure for the pain is in the pain",NULL,https://www.last.fm/music/mewithoutYou/_/the+cure+for+the+pain+is+in+the+pain
236,"...My Nine Rides Shotgun",NULL,https://www.last.fm/music/Brand+New/_/...My+Nine+Rides+Shotgun
237,"Blue Skies",NULL,https://www.last.fm/music/Noah+and+the+Whale/_/Blue+Skies
238,8105,NULL,https://www.last.fm/music/Moving+Mountains/_/8105
239,Elephant,NULL,https://www.last.fm/music/Damien+Rice/_/Elephant
240,"When U Love Somebody",NULL,https://www.last.fm/music/Fruit+Bats/_/When+U+Love+Somebody
241,"Fight Test",NULL,https://www.last.fm/music/The+Flaming+Lips/_/Fight+Test
242,Frankenstein,NULL,https://www.last.fm/music/Tokyo+Police+Club/_/Frankenstein
243,"Evening Kitchen",NULL,https://www.last.fm/music/Band+of+Horses/_/Evening+Kitchen
244,Run,NULL,https://www.last.fm/music/Vampire+Weekend/_/Run
245,"November Was White, December Was Grey",NULL,"https://www.last.fm/music/Say+Hi/_/November+Was+White,+December+Was+Grey"
246,Audrey,NULL,https://www.last.fm/music/Say+Hi/_/Audrey
247,"Sol Solis",NULL,https://www.last.fm/music/Moving+Mountains/_/Sol+Solis
248,"Soldier On",NULL,https://www.last.fm/music/The+Temper+Trap/_/Soldier+On
249,"I Saw Lightning",NULL,https://www.last.fm/music/Telekinesis/_/I+Saw+Lightning
250,"A Comet Appears",NULL,https://www.last.fm/music/The+Shins/_/A+Comet+Appears
251,Cochise,NULL,https://www.last.fm/music/Audioslave/_/Cochise
252,"Measuring Cups",NULL,https://www.last.fm/music/Andrew+Bird/_/Measuring+Cups
253,"Carol Of The Bells",NULL,https://www.last.fm/music/Celtic+Woman/_/Carol+Of+The+Bells
254,"Free Bird",NULL,https://www.last.fm/music/Lynyrd+Skynyrd/_/Free+Bird
255,"This Year",NULL,https://www.last.fm/music/The+Mountain+Goats/_/This+Year
256,"The Wrestler",NULL,https://www.last.fm/music/Bruce+Springsteen/_/The+Wrestler
257,"War On Christmas",NULL,https://www.last.fm/music/The+American+Dollar/_/War+On+Christmas
258,"Always a Bridesmaid",NULL,https://www.last.fm/music/The+Good+Life/_/Always+a+Bridesmaid
259,"Autumn Walker",NULL,https://www.last.fm/music/Jets+to+Brazil/_/Autumn+Walker
260,"Don't Waste Your Breath",NULL,https://www.last.fm/music/Pilate/_/Don%27t+Waste+Your+Breath
261,Window,NULL,https://www.last.fm/music/Good+Old+War/_/Window
262,"I'm Ready, I Am",NULL,"https://www.last.fm/music/The+Format/_/I%27m+Ready,+I+Am"
263,"Beautiful Son",NULL,https://www.last.fm/music/Cave+In/_/Beautiful+Son
264,"I Believe in Your Victory",NULL,https://www.last.fm/music/This+Will+Destroy+You/_/I+Believe+in+Your+Victory
265,"Graveyard Girl",NULL,https://www.last.fm/music/M83/_/Graveyard+Girl
266,"Play Your Part (Pt. 1)",NULL,https://www.last.fm/music/Girl+Talk/_/Play+Your+Part+(Pt.+1)
267,"Your Hand in Mine",NULL,https://www.last.fm/music/Explosions+in+the+Sky/_/Your+Hand+in+Mine
268,Konstantine,NULL,https://www.last.fm/music/Something+Corporate/_/Konstantine
269,"Fight Song",NULL,https://www.last.fm/music/The+Appleseed+Cast/_/Fight+Song
270,"the air was perfectly neutral",NULL,https://www.last.fm/music/Black+Nail/_/the+air+was+perfectly+neutral
271,"Grim Reefer",NULL,https://www.last.fm/music/jank/_/Grim+Reefer
272,"summer in sheol",NULL,https://www.last.fm/music/Stable+Boys/_/summer+in+sheol
273,"Wut I Liek Abt U",NULL,https://www.last.fm/music/jank/_/Wut+I+Liek+Abt+U
274,Caitlyn,NULL,https://www.last.fm/music/jank/_/Caitlyn
